Site_Code,Country,City,Latitude,Longitude,Elevation_meters,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Method_Code,Collection_Description,Analysis_Description,Conditions
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28802,Ammonium PM2.5,0.29,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,16,9,2014,11,25,9,24,28802,Ammonium PM2.5,0.28,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,25,9,2014,12,4,9,24,28802,Ammonium PM2.5,0.2,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28201,Equivalent BC PM2.5,3.1,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,16,9,2014,11,25,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,25,9,2014,12,4,9,24,28201,Equivalent BC PM2.5,0,Micrograms per cubic meter,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,2,9,2014,10,11,9,24,28801,Sodium PM2.5,0.33,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,11,9,2014,10,20,9,24,28801,Sodium PM2.5,0.36,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,20,9,2014,10,29,9,24,28801,Sodium PM2.5,0.27,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,10,29,9,2014,11,7,9,24,28801,Sodium PM2.5,0.2,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ARCB,Argentina,BuenosAires,-34.5554,-58.5064,26,2014,11,7,9,2014,11,16,9,24,28801,Sodium PM2.5,0.27,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
